LSOA code (2011),Index of Multiple Deprivation ,Income Decile ,Employment Decile ,"Education, Skills and Training Decile ",Health Deprivation and Disability Decile ,Crime Decile ,Barriers to Housing and Services Decile ,Living Environment Decile 
E01000645,10,10,10,10,10,8,3,7
E01000646,8,7,8,10,10,7,4,5
E01000647,9,8,9,9,10,7,6,5
E01000648,9,8,9,9,10,9,5,5
E01000649,8,7,8,10,10,7,2,8
E01000650,7,7,7,10,9,6,1,8
E01000651,8,7,9,10,10,9,2,6
E01000652,9,9,10,9,10,6,4,7
E01000653,8,9,7,9,8,8,2,7
E01000654,9,9,9,5,9,9,4,8
E01000655,8,9,9,5,10,7,2,9
E01000656,9,9,9,6,10,6,7,8
E01000657,7,6,7,6,8,5,6,8
E01000658,9,9,8,6,9,9,6,9
E01000659,9,8,8,6,10,7,4,9
E01000661,2,2,3,3,4,2,1,6
E01000662,5,5,5,5,7,5,2,6
E01000663,6,4,5,6,8,7,2,7
E01000664,5,5,6,6,8,4,1,7
E01000665,8,7,7,7,10,7,3,7
E01000666,10,10,10,8,10,8,3,8
E01000667,9,10,9,9,10,8,2,7
E01000668,7,6,8,9,9,4,6,3
E01000669,8,8,8,8,10,7,6,4
E01000670,10,9,10,10,10,8,3,6
E01000671,8,7,8,9,8,7,3,5
E01000672,9,9,9,9,9,6,4,7
E01000673,9,8,9,9,10,8,3,6
E01000674,7,5,7,9,9,6,4,5
E01000675,8,8,8,10,10,5,4,4
E01000676,5,4,5,8,7,3,3,3
E01000677,7,8,10,9,10,2,2,3
E01000678,8,8,8,9,10,9,2,5
E01000679,8,9,9,9,9,6,5,3
E01000680,8,9,10,8,10,7,1,6
E01000681,10,10,10,9,10,9,7,8
E01000682,10,10,10,9,9,9,6,7
E01000683,7,7,6,8,8,9,3,5
E01000684,10,10,10,10,10,10,4,8
E01000685,7,6,5,6,8,7,6,8
E01000686,9,7,9,9,10,8,5,7
E01000687,9,7,9,9,9,9,6,6
E01000688,10,10,10,10,10,8,7,8
E01000689,4,4,4,6,5,5,2,6
E01000690,9,9,9,9,10,3,5,7
E01000691,7,5,6,7,8,7,5,6
E01000692,9,8,10,9,10,6,6,5
E01000693,7,9,9,9,10,4,1,5
E01000694,9,8,8,9,10,7,3,7
E01000695,9,9,9,10,10,5,4,6
E01000696,9,10,10,10,10,3,3,6
E01000697,10,10,10,10,10,10,4,7
E01000698,7,10,9,9,10,1,1,8
E01000699,5,4,5,5,6,5,4,3
E01000700,7,6,6,8,8,7,4,4
E01000701,7,5,6,8,9,8,5,3
E01000702,8,8,8,9,9,7,4,3
E01000703,8,8,8,10,10,5,4,2
E01000704,8,7,8,8,9,5,5,4
E01000705,6,5,5,9,9,5,3,3
E01000706,6,5,6,7,8,5,3,4
E01000707,10,10,10,10,10,9,9,5
E01000708,9,9,8,9,9,6,5,5
E01000709,6,5,5,7,6,7,2,6
E01000710,8,7,9,9,10,4,2,6
E01000711,7,7,9,7,10,4,2,6
E01000712,9,9,10,10,10,4,3,7
E01000713,9,9,9,9,10,6,2,7
E01000714,8,7,9,8,10,4,4,5
E01000715,9,9,9,10,9,6,5,5
E01000716,9,7,8,10,9,8,4,7
E01000717,9,8,9,10,10,8,2,6
E01000718,3,3,4,5,8,5,1,2
E01000719,4,3,4,4,5,2,3,5
E01000720,2,1,2,2,5,1,1,4
E01000721,2,1,2,2,3,1,2,6
E01000722,4,4,4,4,6,2,5,4
E01000723,7,7,6,5,9,5,3,7
E01000724,2,2,3,2,4,2,2,7
E01000725,3,3,4,4,5,3,2,4
E01000726,6,6,6,6,9,1,5,6
E01000727,6,6,6,6,9,5,3,5
E01000728,5,4,4,4,8,2,3,6
E01000729,2,1,2,2,3,2,3,6
E01000730,2,1,2,2,4,2,1,6
E01000731,3,3,3,3,7,2,1,6
E01000732,6,5,6,7,9,6,3,7
E01000733,5,4,5,5,8,3,4,5
E01000734,7,6,7,7,9,7,3,6
E01000735,3,3,3,2,5,2,2,4
E01000736,4,4,4,4,8,4,3,6
E01000737,3,2,3,4,5,2,2,5
E01000738,5,5,5,5,7,2,4,5
E01000739,2,1,2,2,4,1,2,6
E01000740,4,3,5,7,7,1,1,4
E01000741,4,4,4,7,4,4,1,4
E01000742,4,3,5,8,8,3,1,3
E01000743,2,2,2,5,3,2,2,5
E01000744,2,1,2,3,3,3,1,6
E01000745,5,4,6,9,8,3,1,5
E01000746,6,5,7,7,9,3,2,4
E01000747,5,6,7,5,9,6,1,5
E01000748,7,9,9,6,10,7,1,5
E01000749,7,8,9,8,10,6,1,8
E01000750,3,3,2,3,6,8,1,8
E01000751,9,9,9,8,9,6,4,8
E01000752,9,8,8,8,9,5,6,6
E01000753,9,10,10,9,10,10,2,8
E01000754,9,9,10,9,9,9,2,7
E01000755,10,10,10,10,9,10,3,8
E01000756,10,10,10,9,10,6,5,6
E01000757,10,10,10,9,10,10,3,8
E01000758,10,10,10,10,10,9,5,7
E01000759,9,10,9,8,10,6,2,7
E01000760,8,9,10,8,9,8,2,5
E01000761,9,10,10,8,10,6,3,6
E01000762,9,8,9,9,9,10,3,7
E01000763,10,10,10,8,10,7,4,7
E01000764,7,6,6,7,8,7,3,6
E01000765,9,8,8,9,10,6,5,6
E01000766,10,10,10,9,10,9,7,7
E01000767,10,10,10,9,10,6,7,6
E01000768,8,9,8,10,10,5,2,7
E01000769,4,6,3,7,7,1,2,7
E01000770,9,9,10,10,10,5,6,5
E01000771,10,10,10,10,10,4,7,4
E01000772,10,9,10,10,10,10,5,7
E01000773,9,9,9,8,10,9,4,5
E01000774,8,8,9,7,9,4,5,5
E01000775,9,9,10,9,10,8,2,6
E01000777,9,9,10,9,10,7,3,5
E01000778,7,7,7,7,8,7,2,6
E01000779,6,6,7,8,9,2,6,4
E01000780,4,4,4,3,8,2,4,6
E01000781,2,2,2,2,4,2,2,7
E01000782,1,1,1,2,2,1,1,5
E01000783,3,2,3,2,5,2,3,6
E01000784,8,7,8,8,9,5,5,5
E01000785,3,2,2,3,6,2,4,5
E01000786,8,9,7,9,10,4,2,8
E01000787,4,4,4,4,8,2,3,6
E01000788,4,4,5,6,9,1,2,3
E01000789,2,1,2,2,5,4,2,7
E01000790,7,6,7,9,10,5,4,2
E01000791,8,8,7,7,9,6,4,7
E01000792,5,4,5,5,8,2,6,8
E01000793,10,10,10,10,9,8,5,7
E01000794,10,10,10,9,10,10,5,8
E01000795,6,5,5,7,7,8,3,8
E01000796,3,2,2,4,5,5,2,6
E01000797,7,8,7,10,9,2,3,4
E01000798,2,1,2,3,4,1,2,3
E01000799,5,5,5,8,8,2,4,3
E01000800,3,3,3,5,7,1,2,3
E01000801,5,5,5,6,8,5,3,3
E01000802,5,4,5,8,8,4,3,2
E01000803,6,5,5,8,7,5,3,3
E01000804,9,8,9,10,10,4,5,4
E01000805,4,4,6,6,7,2,4,2
E01000806,4,3,4,5,6,4,2,3
E01000807,9,9,9,9,10,7,6,5
E01000808,9,8,7,9,10,8,5,8
E01000809,10,10,10,9,10,8,5,7
E01000810,10,10,10,10,10,9,7,8
E01000811,10,10,10,9,10,7,6,6
E01000812,8,6,7,9,10,6,5,6
E01000813,10,10,10,9,10,8,9,7
E01000814,10,10,10,10,10,6,4,7
E01000815,10,10,10,10,10,9,6,8
E01000816,7,6,7,6,9,4,3,5
E01000818,7,7,7,7,10,3,2,6
E01000819,4,3,3,6,7,3,2,4
E01000820,5,4,3,8,6,3,5,5
E01000822,7,5,7,8,6,6,5,5
E01000823,7,8,7,10,9,3,4,5
E01000824,6,5,6,9,7,4,4,3
E01000825,6,5,5,8,7,8,3,3
E01000826,10,10,10,10,10,9,3,6
E01000827,10,8,10,9,10,9,4,7
E01000828,8,7,7,10,10,8,2,6
E01000829,9,9,9,9,10,9,4,6
E01000830,10,10,10,10,10,9,4,6
E01000831,9,7,8,10,10,10,3,6
E01000832,9,10,10,10,10,7,3,7
E01000833,10,10,10,10,10,10,6,8
E01000834,10,10,10,9,10,10,4,7
E01000835,9,7,9,8,10,8,6,5
E01000836,10,10,10,9,10,10,3,6
E01000837,8,8,6,8,8,7,4,7
E01000838,10,10,9,9,10,8,5,7
E01000839,10,10,10,10,10,7,4,7
E01000840,8,8,7,9,8,10,2,6
E01000841,10,10,10,9,10,9,6,6
E01032562,3,2,2,3,7,4,2,4
E01032563,8,9,9,9,9,3,5,5
E01032568,4,3,4,4,7,4,3,4
E01032570,7,5,5,7,10,8,5,9
E01000842,9,8,9,9,10,6,5,3
E01000843,7,5,8,9,10,5,5,3
E01000844,8,8,9,10,10,4,6,2
E01000845,7,7,8,9,9,3,7,4
E01000846,4,3,3,8,7,4,5,3
E01000847,6,4,5,8,9,5,5,4
E01000848,9,9,10,9,10,6,7,4
E01000849,9,9,10,7,10,6,6,4
E01000850,6,8,9,9,10,4,3,1
E01000851,6,9,10,8,10,6,4,1
E01000852,6,7,9,10,8,3,3,1
E01000853,3,2,2,7,6,3,5,2
E01000854,6,5,7,8,7,7,4,2
E01000855,6,9,9,9,9,4,3,1
E01000856,3,2,3,6,3,1,5,3
E01000857,6,4,5,10,8,6,7,4
E01000858,2,2,2,6,4,1,4,4
E01000859,9,8,9,9,10,7,7,3
E01000860,5,3,6,9,8,5,4,3
E01000861,2,3,3,9,4,1,4,1
E01000862,8,9,9,10,10,2,6,2
E01000863,2,3,3,6,3,1,3,2
E01000864,5,5,5,10,8,3,3,2
E01000865,7,8,8,10,7,4,5,2
E01000866,4,4,4,9,7,4,4,1
E01000867,3,2,3,4,6,4,4,2
E01000868,2,2,2,5,3,3,2,1
E01000869,4,3,4,9,5,4,4,2
E01000870,3,3,3,8,6,3,5,2
E01000871,7,5,7,9,10,2,6,5
E01000872,4,4,4,8,5,2,4,2
E01000873,9,7,8,8,9,8,8,5
E01000874,10,10,10,10,10,8,8,3
E01000875,4,3,4,6,7,2,5,4
E01000876,3,2,3,6,4,4,3,4
E01000877,8,6,7,9,8,7,7,4
E01000878,10,9,10,8,10,8,6,4
E01000879,10,9,10,9,10,7,7,3
E01000880,9,10,10,10,10,7,5,3
E01000881,7,6,7,7,10,7,5,3
E01000882,10,10,10,10,10,8,7,3
E01000883,8,8,10,10,10,3,4,3
E01000884,10,10,9,10,10,8,5,5
E01000885,9,9,10,8,10,7,4,4
E01000886,8,7,8,9,10,7,7,3
E01000887,7,6,6,8,9,3,6,4
E01000888,6,6,5,8,9,4,6,3
E01000889,3,2,2,4,4,5,6,4
E01000890,2,1,1,3,3,4,5,5
E01000891,2,1,2,3,3,2,4,5
E01000892,6,4,5,8,10,4,6,5
E01000893,10,9,10,10,10,7,6,5
E01000894,9,10,10,7,10,5,8,3
E01000895,9,6,9,9,9,9,7,5
E01000896,10,10,10,10,10,5,8,3
E01000897,10,10,10,10,10,5,9,4
E01000898,7,5,7,7,6,9,4,6
E01000899,9,10,10,10,10,6,8,2
E01000900,4,3,3,5,6,1,6,3
E01000901,3,2,2,4,6,3,5,5
E01000902,2,1,2,5,3,2,4,5
E01000903,5,4,5,9,7,3,6,3
E01000904,4,3,4,6,8,1,5,4
E01000905,2,1,2,4,3,2,5,4
E01000906,8,7,8,10,9,3,6,4
E01000907,2,2,2,5,4,1,5,5
E01000908,3,3,2,6,6,5,4,3
E01000909,7,6,6,10,10,4,7,3
E01000910,8,8,8,10,10,3,8,3
E01000911,6,4,4,9,9,5,7,5
E01000912,4,3,4,7,6,2,6,4
E01000913,8,10,10,10,10,2,7,3
E01000914,7,7,8,8,10,7,5,1
E01000915,4,3,4,6,7,9,4,2
E01000916,5,4,5,7,8,9,4,1
E01000917,2,1,2,5,6,5,5,2
E01000918,5,4,5,7,9,4,4,1
E01000919,4,5,5,7,7,2,4,1
E01000920,6,5,6,9,8,8,5,1
E01000921,6,6,7,9,7,3,5,2
E01000922,4,3,4,7,5,4,5,3
E01000923,5,5,4,9,5,3,6,4
E01000924,7,5,7,10,9,4,6,3
E01000925,3,2,2,5,5,5,5,4
E01000926,6,4,6,9,5,5,6,4
E01000927,6,6,6,9,7,3,7,3
E01000928,5,4,4,9,6,4,6,2
E01000929,4,2,3,5,6,4,5,3
E01000930,3,2,4,5,5,3,4,2
E01000931,2,2,2,7,6,1,4,3
E01000932,5,3,4,7,5,4,6,5
E01000933,4,3,4,7,7,1,6,1
E01000934,2,1,2,8,2,4,3,3
E01000935,3,1,2,6,5,5,2,4
E01000936,5,4,5,5,8,5,4,1
E01000937,6,7,9,7,9,3,3,2
E01000938,2,3,3,5,4,1,4,1
E01000939,2,2,2,3,4,1,5,2
E01000940,5,4,6,8,6,5,4,2
E01000941,2,1,2,5,3,1,5,2
E01000942,6,8,10,6,10,6,5,1
E01000943,5,5,4,10,8,4,3,1
E01000944,4,3,4,3,7,7,5,3
E01000945,3,3,3,5,3,5,4,1
E01000946,6,4,7,7,8,9,5,2
E01000947,4,4,4,8,5,3,3,2
E01000948,3,4,4,8,6,1,4,2
E01000949,5,4,4,5,5,9,6,4
E01000950,2,1,2,2,3,5,4,2
E01000951,2,1,2,4,4,4,5,2
E01000952,2,2,2,4,4,2,4,3
E01000953,2,2,3,4,3,1,5,3
E01000954,2,1,2,2,4,8,5,3
E01000955,3,2,2,3,4,2,5,3
E01000956,2,2,3,4,5,2,4,1
E01000957,4,2,3,7,6,3,4,4
E01000958,4,3,4,6,3,5,5,4
E01000959,2,2,2,3,4,1,4,2
E01000960,6,5,7,6,9,4,3,3
E01000961,4,3,3,7,8,3,5,4
E01000962,9,9,10,10,9,7,5,4
E01000963,8,8,10,9,10,6,6,2
E01000964,5,3,5,7,8,8,3,5
E01000965,6,4,5,7,7,4,6,4
E01000966,9,9,10,9,10,5,4,5
E01000967,8,8,9,9,10,3,6,3
E01000968,6,5,7,8,9,3,7,4
E01000969,9,9,10,10,10,6,7,3
E01000970,8,8,9,10,7,6,6,2
E01000971,9,8,8,10,9,8,8,2
E01000972,3,2,3,8,6,6,2,2
E01000973,5,4,5,8,6,2,4,2
E01000974,4,3,3,6,6,3,3,3
E01000975,5,6,8,5,6,5,3,3
E01000976,4,4,5,7,3,4,2,1
E01000977,3,3,3,6,4,5,2,4
E01000978,5,6,6,8,6,6,1,2
E01000979,6,6,6,7,7,7,2,2
E01000980,4,3,3,7,3,4,4,3
E01000981,7,6,8,6,6,6,5,3
E01000982,5,4,6,6,7,5,4,3
E01000983,7,7,8,8,7,6,4,2
E01000984,3,3,3,6,2,5,2,2
E01000985,8,8,8,8,8,5,6,6
E01000986,7,6,7,9,8,4,3,5
E01000987,8,9,9,7,8,5,7,3
E01000989,7,7,7,6,7,7,3,6
E01000990,2,2,2,2,4,4,1,4
E01000991,8,8,9,8,9,7,3,6
E01000992,3,3,2,4,4,3,2,4
E01000993,7,7,8,7,7,5,4,4
E01000994,5,5,5,7,7,3,2,4
E01000995,5,5,6,7,8,3,2,2
E01000996,5,4,5,7,5,4,3,3
E01000997,4,3,5,6,5,5,3,4
E01000998,3,3,3,5,4,2,1,3
E01000999,4,4,5,6,6,3,4,1
E01001000,3,4,4,6,4,1,2,3
E01001001,2,2,3,5,4,2,1,2
E01001002,4,4,5,5,5,5,2,2
E01001003,4,3,5,6,7,4,1,2
E01001004,3,2,4,5,6,4,1,4
E01001005,4,4,6,6,6,2,2,3
E01001006,3,3,4,4,6,3,1,5
E01001007,5,4,7,6,8,6,1,4
E01001008,3,3,4,3,4,3,1,3
E01001009,4,4,5,6,6,4,1,3
E01001010,2,2,3,2,4,1,1,2
E01001011,3,3,3,5,7,2,1,3
E01001012,2,2,3,4,4,1,1,2
E01001013,1,1,2,3,2,1,1,4
E01001014,3,4,5,5,4,1,1,2
E01001015,4,3,4,5,6,7,1,8
E01001016,6,7,7,8,8,7,1,7
E01001017,9,10,10,9,10,10,1,7
E01001018,9,9,10,8,8,6,6,6
E01001019,10,9,9,9,9,9,4,8
E01001020,9,8,7,7,8,6,7,7
E01001021,2,2,3,2,3,3,1,8
E01001022,8,8,9,9,9,5,2,9
E01001023,4,4,3,7,5,4,2,3
E01001024,8,8,8,8,8,5,6,6
E01001025,9,9,10,7,10,8,4,7
E01001026,7,5,7,6,7,8,5,8
E01001027,8,8,8,7,8,7,3,7
E01001028,9,10,8,10,9,8,4,7
E01001029,6,7,6,9,7,5,1,6
E01001030,9,9,10,10,9,5,3,7
E01001031,9,10,9,10,9,3,7,6
E01001032,10,10,10,10,9,9,6,8
E01001033,6,7,9,8,8,4,3,2
E01001034,6,7,7,7,7,7,2,3
E01001035,5,6,6,7,4,6,1,5
E01001036,7,10,9,9,8,4,1,6
E01001037,5,4,6,5,5,5,4,2
E01001038,5,6,6,6,5,6,1,4
E01001039,8,8,8,10,9,4,4,7
E01001040,6,5,6,7,8,8,4,3
E01001041,5,5,5,7,5,4,3,2
E01001042,2,3,5,4,5,1,1,1
E01001043,3,3,5,6,6,1,1,1
E01001044,8,7,9,10,9,4,3,5
E01001045,2,3,2,6,4,4,1,1
E01001046,8,8,10,10,10,7,2,4
E01001047,4,5,7,7,5,2,2,1
E01001048,3,3,4,7,5,1,1,3
E01001049,7,9,8,10,10,2,1,7
E01001050,4,4,6,8,4,4,1,5
E01001051,2,1,2,2,3,2,1,8
E01001052,2,1,2,2,4,3,1,8
E01001053,3,2,3,2,4,3,2,5
E01001054,2,2,2,2,3,5,2,6
E01001055,2,2,2,1,3,3,2,4
E01001056,2,1,2,2,4,4,1,7
E01001057,2,1,2,2,4,5,1,8
E01001058,7,8,7,6,6,5,3,8
E01001059,6,5,6,7,5,8,2,7
E01001060,5,4,6,5,7,2,2,7
E01001061,4,4,5,4,6,3,2,6
E01001062,8,7,7,8,8,6,5,7
E01001063,9,8,9,8,9,7,7,6
E01001064,7,8,8,9,9,2,2,7
E01001065,6,6,7,7,8,3,2,5
E01001066,2,1,2,3,3,5,1,7
E01001067,9,10,9,10,8,9,2,7
E01001068,6,5,6,6,8,7,1,7
E01001069,8,9,8,9,7,9,1,8
E01001070,6,5,6,7,6,8,2,8
E01001071,7,7,7,6,9,7,2,7
E01001072,9,9,10,10,9,7,1,8
E01001073,6,6,6,9,6,8,1,4
E01001074,5,5,6,6,7,7,1,4
E01001075,7,7,8,8,6,8,2,4
E01001076,2,2,2,2,3,4,2,6
E01001077,5,6,6,3,6,4,3,5
E01001078,2,2,2,2,3,3,1,6
E01001079,2,2,3,2,4,7,1,6
E01001080,1,1,1,1,2,3,1,8
E01001081,2,2,3,1,2,5,2,5
E01001082,3,3,3,2,5,3,2,6
E01001083,7,6,8,9,9,4,2,4
E01001084,7,7,8,9,8,4,3,2
E01001085,5,5,7,7,9,3,3,2
E01001086,6,6,7,8,8,2,2,4
E01001087,4,5,6,5,8,2,1,2
E01001088,6,5,6,6,8,7,3,4
E01001089,3,3,5,5,4,3,1,2
E01001090,4,4,6,5,8,4,1,2
E01001091,6,6,7,9,8,2,3,5
E01001092,5,6,4,9,6,4,1,5
E01001093,7,6,8,8,8,7,3,6
E01001094,9,9,9,10,9,6,2,6
E01001095,6,5,6,8,7,5,3,5
E01001096,9,9,8,10,9,8,2,8
E01001097,4,4,4,6,6,3,2,4
E01001098,9,9,10,10,8,5,3,7
E01001099,5,4,4,7,8,7,1,5
E01001100,8,8,10,10,9,8,2,4
E01001101,10,10,9,9,9,9,4,7
E01001102,9,8,9,9,8,7,6,7
E01001103,9,8,7,8,9,9,6,8
E01001104,10,10,10,10,9,7,6,5
E01001105,5,5,5,5,4,6,2,6
E01001106,7,7,6,6,6,6,5,7
E01001107,9,10,9,10,10,9,2,6
E01001108,10,10,10,10,10,8,3,8
E01001109,3,2,3,4,5,3,1,3
E01001110,2,2,3,4,2,1,1,1
E01001111,3,4,4,5,5,2,2,2
E01001112,3,2,3,5,3,4,1,6
E01001113,3,3,4,5,6,2,1,2
E01001114,2,2,3,3,3,2,1,3
E01001115,1,2,2,4,2,1,1,3
E01001116,3,3,4,5,5,2,2,2
E01001117,3,4,5,6,6,3,1,2
E01001118,2,2,2,5,3,1,1,3
E01001119,8,9,8,7,9,9,2,9
E01001120,8,8,8,7,7,6,7,4
E01001121,9,10,9,8,8,7,3,9
E01001122,8,10,10,8,9,9,1,6
E01001123,8,9,9,7,9,6,2,7
E01001124,10,10,9,10,9,8,3,7
E01001125,7,6,6,7,6,6,6,6
E01001126,9,9,10,8,8,8,4,6
E01001127,8,7,7,8,9,5,6,6
E01001128,2,2,2,3,5,3,2,6
E01001129,10,10,9,8,10,8,7,7
E01001130,2,1,2,3,5,4,1,6
E01001131,7,6,9,6,8,9,1,6
E01001132,8,8,8,7,8,6,5,6
E01001133,7,6,7,6,8,8,5,6
E01001134,8,7,8,8,9,8,3,7
E01001135,9,7,9,7,10,6,5,6
E01001136,3,3,4,5,5,2,1,1
E01001137,4,4,4,9,6,2,3,4
E01001138,5,5,6,8,7,3,2,4
E01001139,5,5,6,6,8,4,2,2
E01001140,4,4,6,6,5,4,2,3
E01001141,3,3,3,6,6,4,1,4
E01001142,5,5,5,7,5,1,3,3
E01001143,3,3,4,4,5,4,1,2
E01001144,2,2,2,4,3,4,1,2
E01001145,2,1,2,4,4,2,1,2
E01001146,5,4,5,6,8,5,3,2
E01001147,2,2,3,3,4,3,1,3
E01001148,4,4,5,7,4,5,3,2
E01001149,6,5,6,7,7,5,3,4
E01001150,5,4,6,8,8,2,2,3
E01001151,2,2,2,3,3,2,1,2
E01001152,2,2,3,5,3,2,1,1
E01001153,4,4,5,5,7,3,2,3
E01001154,3,3,4,4,7,2,2,1
E01001155,2,1,2,4,2,2,1,3
E01001156,4,3,4,5,3,6,1,5
E01001157,5,5,6,7,8,2,3,4
E01001158,5,4,5,6,6,6,2,3
E01001159,6,6,8,8,8,5,2,5
E01001160,7,5,7,7,8,5,4,5
E01001161,2,1,2,3,3,3,1,5
E01001162,3,3,3,5,5,3,1,3
E01001163,6,6,6,8,8,4,4,2
E01001164,5,4,5,8,7,4,2,3
E01001165,4,4,5,6,6,2,2,2
E01001166,3,3,4,5,2,5,1,3
E01001167,4,4,5,7,6,4,2,3
E01001168,5,6,7,6,5,3,2,2
E01001169,3,2,3,3,3,5,1,4
E01001170,3,4,4,8,4,3,2,2
E01001171,4,4,4,5,6,7,1,5
E01001172,2,1,2,2,3,3,1,5
E01001173,5,4,5,7,5,6,1,6
E01001174,4,4,5,5,8,2,3,4
E01001175,3,3,3,7,4,2,2,2
E01001176,4,4,6,6,8,2,1,3
E01001177,3,3,3,5,4,3,1,3
E01001178,1,1,1,3,1,3,1,3
E01001179,5,4,6,6,8,3,3,1
E01001180,3,3,5,6,7,2,2,1
E01001181,2,2,2,5,3,2,1,1
E01001182,4,4,6,6,7,2,2,3
E01001183,4,4,4,5,7,3,2,3
E01001184,6,5,6,7,7,3,3,4
E01001185,5,5,5,5,6,5,2,4
E01001186,3,3,3,5,4,5,1,4
E01001187,5,5,5,6,7,6,2,2
E01001188,3,3,4,5,5,2,2,3
E01001189,5,5,4,6,7,4,4,5
E01001190,3,3,4,6,4,4,2,2
E01001191,2,2,3,6,4,2,1,1
E01001192,3,3,4,5,5,2,2,4
E01001193,2,2,2,4,4,5,1,7
E01001194,5,5,6,5,7,2,4,4
E01032569,1,1,2,2,3,3,1,5
E01001195,7,6,10,7,9,4,1,4
E01001196,2,2,2,6,3,4,1,2
E01001197,4,4,4,8,5,4,2,3
E01001198,6,7,6,10,7,4,3,3
E01001199,4,3,4,7,6,6,2,5
E01001200,6,6,6,9,6,4,3,3
E01001201,6,5,6,8,8,4,3,2
E01001202,2,2,3,7,5,1,1,2
E01001203,3,2,2,7,4,4,1,2
E01001204,7,5,6,10,8,7,3,4
E01001205,3,3,3,7,7,3,1,4
E01001206,2,1,2,3,5,7,1,6
E01001207,6,6,6,9,7,4,3,2
E01001208,7,7,8,10,9,3,6,2
E01001209,9,9,9,10,10,6,6,3
E01001210,1,1,1,4,3,6,1,4
E01001211,8,6,8,10,9,5,4,6
E01001212,7,7,5,10,7,8,3,4
E01001213,3,3,4,4,6,3,1,3
E01001214,6,6,6,5,8,7,3,4
E01001215,3,3,5,5,4,2,1,2
E01001216,4,5,6,6,7,4,1,2
E01001217,6,5,7,6,8,4,3,4
E01001218,2,2,3,4,3,4,1,5
E01001219,2,2,2,4,5,7,1,5
E01001220,1,1,2,3,5,2,1,3
E01001221,4,4,6,6,7,1,2,2
E01001222,4,4,5,8,7,5,2,1
E01001223,7,8,7,10,8,8,2,4
E01001224,8,9,9,10,9,8,4,2
E01001225,4,5,6,10,8,1,2,2
E01001226,7,7,7,10,6,8,2,4
E01001227,8,8,8,10,9,7,3,3
E01001228,7,7,9,10,7,8,2,5
E01001229,3,3,3,5,5,3,1,4
E01001230,5,5,3,8,8,6,2,2
E01001231,7,8,10,10,10,4,1,2
E01001232,4,4,4,7,6,4,1,5
E01001233,4,3,4,9,6,2,3,4
E01001234,4,5,7,9,7,2,1,1
E01001235,7,7,8,8,8,3,3,3
E01001236,6,5,8,8,7,6,2,3
E01001237,6,8,9,10,6,2,1,2
E01001238,4,4,6,6,8,7,1,2
E01001239,3,2,3,5,5,6,1,4
E01001240,5,4,6,6,8,5,1,3
E01001241,4,5,6,8,8,1,2,3
E01001242,3,4,4,6,5,3,1,3
E01001243,4,3,4,7,8,3,1,2
E01001244,3,3,4,7,5,6,1,1
E01001245,6,5,7,9,8,5,3,2
E01001246,3,3,4,5,7,4,1,1
E01001247,5,5,7,7,7,4,1,3
E01001248,6,4,5,7,7,5,3,4
E01001249,2,1,2,6,3,1,1,2
E01001250,2,2,2,5,3,3,2,3
E01001251,5,5,5,9,6,5,3,2
E01001252,4,3,4,7,5,5,2,2
E01001253,6,4,6,9,8,8,2,4
E01001254,6,5,7,9,7,7,3,3
E01001255,7,7,6,9,8,4,4,3
E01001257,2,1,2,3,4,3,1,5
E01001258,6,6,6,7,8,7,3,3
E01001259,5,4,7,6,7,2,3,3
E01001260,5,5,7,8,6,1,3,2
E01001261,4,4,5,6,8,4,1,2
E01001262,3,2,3,5,6,3,1,3
E01001263,2,2,2,5,5,4,1,4
E01001264,4,4,4,4,9,5,1,4
E01001265,5,6,6,7,7,8,1,5
E01001266,6,6,7,7,8,5,1,3
E01001267,3,2,3,6,5,4,1,3
E01001268,5,5,5,8,5,6,2,3
E01001269,7,7,8,7,10,5,2,2
E01001270,6,6,7,8,8,4,2,4
E01001271,6,5,6,5,9,6,3,4
E01001272,5,6,6,8,7,5,1,2
E01001273,8,9,10,10,10,5,3,3
E01001274,9,9,9,8,10,8,2,5
E01001275,5,6,5,8,7,3,2,3
E01001276,5,4,6,6,9,6,1,3
E01001277,6,5,8,8,9,6,1,2
E01001278,4,4,7,7,8,3,1,1
E01001279,9,10,10,10,9,7,5,2
E01001280,7,7,9,8,9,7,1,3
E01001281,9,9,9,10,9,8,5,2
E01001282,2,2,2,5,4,5,1,4
E01001283,2,1,2,5,4,3,1,3
E01001284,6,7,7,7,8,2,4,3
E01001285,4,4,4,6,7,5,2,3
E01001286,4,4,4,6,6,6,1,4
E01001287,3,2,2,6,7,7,1,5
E01001288,6,5,6,10,7,6,4,2
E01001289,6,6,6,10,8,7,3,2
E01001290,7,7,7,10,8,7,3,3
E01001291,5,4,4,7,8,5,2,4
E01001292,7,6,7,7,8,6,3,3
E01001293,6,5,5,7,6,7,2,5
E01001294,4,4,5,5,6,3,2,4
E01001295,6,5,6,7,7,7,2,3
E01001296,4,4,4,5,5,6,2,4
E01001297,4,4,4,6,5,4,2,5
E01001298,3,3,4,5,2,4,2,4
E01001299,9,8,8,10,10,8,5,4
E01001300,8,9,9,10,9,5,6,2
E01001301,5,5,6,9,5,2,3,3
E01001302,7,8,8,10,9,3,4,3
E01001303,8,8,10,10,10,6,5,1
E01001304,7,6,6,10,7,6,4,3
E01001305,9,9,8,10,9,7,5,4
E01001306,9,8,10,10,9,8,5,3
