LSOA code (2011),Index of Multiple Deprivation ,Income Decile ,Employment Decile ,"Education, Skills and Training Decile ",Health Deprivation and Disability Decile ,Crime Decile ,Barriers to Housing and Services Decile ,Living Environment Decile 
E01000340,7,7,9,5,8,8,3,4
E01000341,8,8,7,6,9,8,7,6
E01000342,8,10,9,5,9,6,5,4
E01000343,9,8,8,6,9,8,7,5
E01000344,9,10,9,6,8,8,7,7
E01000345,9,9,10,6,9,9,7,6
E01000346,8,8,8,6,9,6,8,4
E01000347,8,7,9,4,8,8,6,5
E01000348,10,10,10,6,10,8,7,6
E01000349,9,9,9,7,10,9,3,6
E01000350,9,9,9,5,9,8,6,5
E01000351,9,9,9,5,10,8,5,7
E01000352,6,5,7,4,8,6,4,4
E01000353,10,9,10,7,10,7,9,6
E01000354,5,4,3,4,6,8,4,5
E01000355,9,9,8,5,9,7,6,6
E01000356,9,8,7,6,9,8,9,7
E01000357,10,10,10,7,10,8,9,6
E01000358,9,9,9,7,9,9,7,6
E01000359,9,9,9,7,10,9,6,6
E01000360,5,5,5,8,5,4,4,3
E01000361,8,7,7,6,9,7,5,5
E01000362,7,7,7,6,9,3,5,5
E01000363,8,8,8,7,9,8,5,5
E01000364,7,7,8,6,8,8,3,4
E01000365,6,6,7,7,7,3,5,4
E01000366,8,6,8,8,9,7,7,6
E01000367,3,2,2,2,6,4,2,6
E01000368,2,2,2,2,5,6,1,6
E01000369,6,6,5,4,8,7,7,5
E01000370,7,7,6,6,8,9,5,6
E01000371,9,8,9,6,9,8,4,6
E01000372,3,3,2,3,4,6,3,5
E01000373,3,4,4,2,5,3,1,6
E01000374,2,2,1,2,3,5,1,3
E01000375,5,5,5,4,7,5,5,4
E01000376,6,6,7,5,7,2,5,4
E01000377,7,7,6,5,9,5,4,6
E01000378,5,5,5,4,6,5,3,3
E01000379,5,5,6,4,8,4,4,3
E01000380,4,4,5,3,7,9,1,7
E01000381,3,4,3,3,6,6,1,5
E01000382,9,10,9,8,10,8,3,8
E01000383,5,5,5,5,7,2,2,6
E01000384,7,6,8,7,9,7,5,4
E01000385,3,2,3,3,3,5,2,5
E01000386,2,2,2,2,2,4,1,5
E01000387,7,7,6,7,9,6,2,7
E01000388,8,7,7,6,9,4,7,5
E01000389,8,6,7,7,10,5,4,7
E01000390,8,8,9,6,7,6,5,5
E01000391,7,6,6,4,9,7,5,4
E01000392,4,4,5,4,6,7,2,3
E01000393,8,9,9,7,9,5,6,3
E01000394,8,7,8,8,8,8,5,6
E01000395,10,10,10,7,9,9,7,6
E01000396,9,9,9,6,8,10,5,4
E01000398,5,5,4,3,7,9,3,5
E01000399,8,9,9,5,10,8,5,5
E01000400,6,6,5,5,8,7,6,4
E01000401,5,4,5,4,5,7,4,4
E01000402,4,3,4,4,7,4,2,5
E01000403,3,3,3,4,6,1,2,6
E01000404,3,2,3,4,5,3,1,6
E01000405,3,3,4,4,5,4,1,3
E01000406,4,4,5,5,6,3,2,4
E01000407,6,6,6,5,8,7,5,4
E01000408,4,3,4,4,6,4,5,3
E01000409,9,9,9,5,10,10,7,7
