LSOA code,local authority name,local authority code,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,White Roma,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other
E01000020,Barking and Dagenham,E09000002,2189,694,10,0,13,221,19,16,14,22,153,9,101,164,62,317,81,34,199,60
E01000021,Barking and Dagenham,E09000002,1687,516,7,0,1,234,10,14,13,27,160,7,109,192,65,199,46,23,2,62
E01000022,Barking and Dagenham,E09000002,1473,479,18,1,2,205,12,12,21,14,152,11,64,117,31,216,36,36,3,43
E01000024,Barking and Dagenham,E09000002,1483,455,2,0,2,220,7,21,15,21,121,12,93,101,54,239,34,29,0,57
E01000025,Barking and Dagenham,E09000002,1922,742,7,0,6,274,2,21,16,19,149,10,82,162,53,256,38,39,16,30
E01000027,Barking and Dagenham,E09000002,2083,967,11,0,20,228,15,26,55,39,97,1,83,109,65,225,70,39,8,25
E01000028,Barking and Dagenham,E09000002,1816,547,28,6,6,224,12,27,22,22,187,2,88,93,34,331,56,49,25,57
E01000029,Barking and Dagenham,E09000002,1824,572,41,0,5,209,10,8,10,11,185,10,208,185,71,130,80,29,1,59
E01000030,Barking and Dagenham,E09000002,2556,929,5,0,5,241,10,51,58,29,153,16,66,154,35,511,116,102,19,56
E01000031,Barking and Dagenham,E09000002,1772,406,11,1,15,149,26,19,36,20,227,6,202,258,66,111,100,41,9,69
E01000032,Barking and Dagenham,E09000002,2083,623,20,5,19,246,10,26,21,35,319,17,186,163,74,127,68,26,5,93
E01000033,Barking and Dagenham,E09000002,1540,787,7,0,14,137,9,15,32,5,69,7,17,41,22,256,36,46,6,34
E01000034,Barking and Dagenham,E09000002,1574,799,13,0,1,188,3,11,23,18,85,4,27,49,16,214,34,55,10,24
E01000035,Barking and Dagenham,E09000002,1864,722,18,2,14,222,18,14,20,17,213,29,56,48,41,293,47,48,11,31
E01000036,Barking and Dagenham,E09000002,1463,427,13,0,7,243,12,4,5,6,221,17,71,41,59,222,32,38,11,34
E01000037,Barking and Dagenham,E09000002,1692,897,29,0,9,151,10,15,12,13,89,13,69,61,87,90,76,11,8,52
E01000038,Barking and Dagenham,E09000002,1621,864,13,8,2,163,19,11,29,8,80,5,68,52,66,105,44,29,6,49
E01000039,Barking and Dagenham,E09000002,1748,839,12,15,2,173,13,14,31,11,59,6,56,103,56,188,68,32,5,65
E01000040,Barking and Dagenham,E09000002,1873,526,7,9,4,218,5,16,20,15,241,14,71,160,49,329,31,54,13,91
E01000041,Barking and Dagenham,E09000002,1835,733,5,1,11,322,14,18,26,14,183,8,47,63,34,252,27,40,7,30
E01000042,Barking and Dagenham,E09000002,1880,554,5,1,2,306,5,30,14,26,241,6,73,122,30,312,53,59,8,33
E01000043,Barking and Dagenham,E09000002,1538,453,6,2,0,197,13,11,10,6,319,0,66,139,43,165,18,29,7,54
E01000044,Barking and Dagenham,E09000002,1980,380,6,3,4,394,21,33,25,54,182,19,139,260,84,197,72,37,16,54
E01000045,Barking and Dagenham,E09000002,1728,609,1,0,11,242,9,10,29,17,219,5,36,71,28,276,40,52,13,60
E01000046,Barking and Dagenham,E09000002,1962,784,6,0,1,326,13,18,14,18,132,11,48,93,57,304,44,46,15,32
E01000049,Barking and Dagenham,E09000002,1975,341,5,0,5,252,16,39,16,8,132,6,101,321,41,510,24,79,23,56
E01000050,Barking and Dagenham,E09000002,1839,326,13,4,24,321,13,11,17,17,199,28,199,151,97,220,35,70,17,77
E01000051,Barking and Dagenham,E09000002,1108,115,5,2,6,137,14,14,9,19,162,12,42,100,47,301,44,33,17,29
E01000052,Barking and Dagenham,E09000002,2356,528,15,3,13,404,33,32,28,20,327,19,168,224,98,261,48,31,4,100
E01000053,Barking and Dagenham,E09000002,1615,613,9,1,5,240,5,15,30,25,87,11,38,72,30,303,55,30,5,41
E01000054,Barking and Dagenham,E09000002,1870,848,2,0,11,240,6,22,22,18,114,11,68,42,32,297,44,42,8,43
E01000055,Barking and Dagenham,E09000002,1705,725,10,0,9,211,5,25,34,25,106,17,54,70,19,277,36,31,12,39
E01000056,Barking and Dagenham,E09000002,1701,776,10,1,2,216,7,9,29,21,108,6,33,67,22,265,63,40,11,15
E01000057,Barking and Dagenham,E09000002,1551,562,8,1,0,276,11,35,21,12,73,5,30,60,40,305,35,47,5,25
E01000058,Barking and Dagenham,E09000002,2132,639,6,5,6,351,15,37,41,18,295,23,33,62,53,371,61,50,6,60
E01000059,Barking and Dagenham,E09000002,1711,809,12,4,0,235,10,7,32,11,91,3,21,42,49,280,28,37,3,37
E01000060,Barking and Dagenham,E09000002,2183,834,7,0,1,214,24,31,18,28,135,14,39,103,38,427,60,67,32,111
E01000061,Barking and Dagenham,E09000002,1927,778,6,0,0,134,8,37,43,21,99,8,63,52,41,417,78,65,18,59
E01000062,Barking and Dagenham,E09000002,2217,851,17,2,17,279,21,19,30,20,106,14,71,79,57,448,40,85,5,56
E01000063,Barking and Dagenham,E09000002,1773,789,9,0,4,219,11,15,19,8,106,15,96,117,23,240,35,18,9,40
E01000064,Barking and Dagenham,E09000002,2288,811,12,1,3,274,15,16,10,22,155,17,62,111,65,527,63,40,33,51
E01000065,Barking and Dagenham,E09000002,1985,866,7,0,4,241,12,17,25,23,115,5,70,90,29,324,45,54,4,54
E01000066,Barking and Dagenham,E09000002,2499,446,7,0,2,151,33,14,17,16,979,39,162,286,58,129,43,27,24,66
E01000067,Barking and Dagenham,E09000002,2234,423,5,1,1,163,26,19,21,21,746,10,166,255,35,196,54,28,19,45
E01000068,Barking and Dagenham,E09000002,1794,262,4,5,5,196,10,5,8,9,459,15,153,358,54,149,38,14,9,41
E01000069,Barking and Dagenham,E09000002,2103,405,7,0,0,135,48,3,2,22,925,8,130,192,53,74,28,13,7,51
E01000070,Barking and Dagenham,E09000002,2068,330,5,3,7,168,6,7,8,20,585,7,227,418,55,98,46,22,2,54
E01000071,Barking and Dagenham,E09000002,2606,441,9,0,8,264,18,4,27,27,861,23,180,291,72,127,106,36,15,97
E01000072,Barking and Dagenham,E09000002,2155,792,15,1,3,249,17,32,48,19,162,26,71,138,28,360,47,53,18,76
E01000073,Barking and Dagenham,E09000002,1848,764,8,0,14,267,22,26,36,10,195,10,58,103,30,221,25,32,2,25
E01000074,Barking and Dagenham,E09000002,1766,694,6,0,6,286,15,12,31,26,101,10,56,78,48,286,30,37,8,36
E01000075,Barking and Dagenham,E09000002,2080,841,19,0,6,302,6,14,21,12,182,3,82,65,33,280,27,147,5,35
E01000076,Barking and Dagenham,E09000002,2166,864,9,8,3,348,14,19,47,22,119,14,56,67,57,358,37,69,4,51
E01000077,Barking and Dagenham,E09000002,1714,622,5,4,6,222,19,27,36,14,118,7,50,91,36,311,58,26,4,58
E01000078,Barking and Dagenham,E09000002,1897,743,8,0,6,237,8,17,39,13,131,21,46,153,25,289,33,60,7,61
E01000079,Barking and Dagenham,E09000002,1727,724,10,2,1,269,17,15,11,24,98,4,67,41,53,278,24,40,2,47
