LSOA code,local authority name,local authority code,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,White Roma,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other
E01000700,Bromley,E09000006,1529,1005,33,3,4,138,26,16,42,20,0,20,26,14,21,42,48,20,6,45
E01000701,Bromley,E09000006,1444,873,38,0,1,148,37,12,26,38,11,4,9,11,25,94,66,23,1,27
E01000702,Bromley,E09000006,1434,869,26,0,4,177,35,11,32,38,9,26,14,4,25,41,65,25,1,32
E01000703,Bromley,E09000006,1725,1075,27,6,7,150,29,23,43,46,30,22,48,6,25,56,40,34,27,31
E01000704,Bromley,E09000006,1472,872,55,0,3,126,23,16,47,14,12,16,14,12,24,71,99,24,1,43
E01000705,Bromley,E09000006,1352,635,34,0,4,129,21,10,41,24,7,13,49,25,21,125,132,46,11,25
E01000706,Bromley,E09000006,1376,880,36,0,0,109,19,10,26,36,7,15,30,8,30,39,79,30,4,18
E01000707,Bromley,E09000006,1508,1140,34,1,0,138,47,16,10,32,5,13,16,0,12,12,12,11,1,8
E01000708,Bromley,E09000006,1694,1107,31,0,0,147,44,7,46,26,12,33,45,2,20,71,63,12,8,20
E01000709,Bromley,E09000006,1375,839,45,0,2,180,25,18,23,21,6,44,24,6,20,43,34,19,1,25
E01000710,Bromley,E09000006,2369,1305,39,1,17,320,35,31,54,51,8,51,76,28,67,95,68,47,31,45
E01000711,Bromley,E09000006,1878,1026,36,5,5,259,24,25,38,45,7,59,83,15,40,74,44,21,5,67
E01000712,Bromley,E09000006,1793,1084,37,0,11,256,23,16,30,24,0,20,45,13,29,94,41,9,6,55
E01000713,Bromley,E09000006,1850,1117,40,0,4,304,39,20,37,28,7,15,70,7,29,54,33,11,1,34
E01000714,Bromley,E09000006,2165,1224,48,1,11,335,51,30,63,49,8,24,74,12,48,53,50,16,10,58
E01000715,Bromley,E09000006,1754,1135,53,0,1,210,37,9,15,28,0,29,65,6,23,51,26,19,7,40
E01000716,Bromley,E09000006,1655,1102,40,0,1,168,20,7,17,25,6,23,60,21,30,59,29,18,10,19
E01000717,Bromley,E09000006,1703,1031,43,0,0,232,30,22,34,37,7,23,55,9,38,69,37,2,8,26
E01000718,Bromley,E09000006,2062,1020,34,0,3,209,40,30,62,58,6,39,78,14,35,194,108,72,16,44
E01000719,Bromley,E09000006,2110,1283,10,13,3,191,22,22,23,25,11,18,58,12,46,189,90,40,5,49
E01000720,Bromley,E09000006,1798,1084,3,46,12,178,7,11,29,28,2,17,17,15,46,187,57,33,5,21
E01000721,Bromley,E09000006,1606,865,16,23,4,121,9,24,32,17,7,26,50,3,42,256,46,35,10,20
E01000722,Bromley,E09000006,1839,1253,23,2,3,140,18,9,24,28,13,20,95,4,50,89,17,15,3,33
E01000723,Bromley,E09000006,1242,995,13,1,1,48,3,3,6,7,3,7,41,4,14,59,14,12,2,9
E01000724,Bromley,E09000006,1681,938,10,27,6,142,11,18,27,29,28,11,36,7,25,212,51,58,9,36
E01000725,Bromley,E09000006,1753,1278,8,7,5,118,10,17,38,15,2,21,26,3,28,57,45,36,8,31
E01000726,Bromley,E09000006,1310,963,18,2,0,74,5,2,9,21,25,19,43,5,33,39,17,8,4,23
E01000727,Bromley,E09000006,1689,1161,7,0,2,115,25,9,22,16,5,36,93,16,87,48,12,16,0,19
E01000728,Bromley,E09000006,1627,1054,17,16,1,160,20,14,14,33,3,18,33,5,29,115,41,26,1,27
E01000729,Bromley,E09000006,1952,1273,14,22,1,146,8,10,36,33,14,10,55,12,40,157,51,19,1,50
E01000730,Bromley,E09000006,1813,1188,2,31,0,110,10,13,39,29,9,11,15,4,49,139,51,71,3,39
E01000731,Bromley,E09000006,1377,969,11,7,3,100,21,7,25,19,6,13,30,1,42,66,17,18,2,20
E01000732,Bromley,E09000006,1515,1144,9,1,0,111,12,6,19,19,14,16,41,5,21,38,22,6,2,29
E01000733,Bromley,E09000006,1664,1150,14,7,0,143,19,10,33,16,1,30,33,10,57,72,36,9,7,17
E01000734,Bromley,E09000006,1388,997,12,9,4,105,26,7,22,13,0,25,40,0,24,35,17,16,3,33
E01000735,Bromley,E09000006,1552,1009,2,13,11,118,10,22,24,14,13,16,51,32,35,106,29,21,7,19
E01000736,Bromley,E09000006,1632,1195,11,9,3,109,6,15,21,21,5,20,34,9,12,83,32,10,5,32
E01000737,Bromley,E09000006,1404,976,15,5,6,93,15,17,17,11,0,43,40,6,28,90,26,6,0,10
E01000738,Bromley,E09000006,1688,1076,7,9,0,109,17,13,26,27,20,16,81,5,39,132,42,22,6,41
E01000739,Bromley,E09000006,1675,1175,9,7,6,117,9,14,18,32,11,6,23,7,35,124,30,21,1,30
E01000741,Bromley,E09000006,1828,841,25,0,9,244,30,44,43,47,7,16,25,10,44,151,162,79,6,45
E01000742,Bromley,E09000006,2114,961,48,2,15,346,24,34,76,46,7,4,33,10,38,193,156,61,2,58
E01000743,Bromley,E09000006,1871,786,45,0,4,204,20,31,61,49,25,28,20,12,32,204,218,53,13,66
E01000744,Bromley,E09000006,1555,641,25,0,1,159,28,19,62,41,22,7,25,4,28,220,163,48,13,49
E01000745,Bromley,E09000006,1885,926,38,1,0,255,36,28,53,51,3,21,45,11,20,159,105,60,15,58
E01000746,Bromley,E09000006,2017,1092,45,1,2,310,39,19,76,54,12,19,32,10,31,94,100,29,2,50
E01000747,Bromley,E09000006,2027,1671,17,39,9,82,12,5,39,23,6,7,40,3,5,7,15,12,0,35
E01000748,Bromley,E09000006,1688,1556,17,4,0,54,5,0,11,11,5,1,3,0,2,12,1,0,0,6
E01000749,Bromley,E09000006,1650,1423,29,0,2,51,9,1,22,14,1,4,44,1,16,14,10,4,1,4
E01000750,Bromley,E09000006,1456,1145,19,3,1,43,6,9,28,13,12,6,52,2,21,39,26,7,2,22
E01000751,Bromley,E09000006,2273,1491,23,0,7,125,35,13,19,23,10,62,162,24,130,95,23,13,1,17
E01000752,Bromley,E09000006,1749,1455,8,0,1,61,17,1,10,13,8,6,56,0,23,36,19,8,9,18
E01000753,Bromley,E09000006,1933,1581,7,0,0,61,29,8,5,10,0,25,110,7,18,26,3,4,11,28
E01000754,Bromley,E09000006,1773,1245,17,1,0,128,25,1,19,20,10,44,141,9,27,35,18,7,2,24
E01000755,Bromley,E09000006,1638,1253,11,0,0,98,38,6,6,11,0,35,83,9,25,23,10,2,2,26
E01000756,Bromley,E09000006,1709,1246,21,0,0,75,13,14,23,19,1,17,113,16,64,34,8,0,6,39
E01000757,Bromley,E09000006,1574,1238,13,0,0,67,21,3,7,10,6,39,66,5,29,37,7,1,4,21
E01000758,Bromley,E09000006,1446,1016,9,0,3,89,23,12,6,15,4,34,152,17,5,20,10,9,5,17
E01000759,Bromley,E09000006,1649,1361,43,1,0,70,22,14,18,23,0,1,20,1,15,13,17,1,5,24
E01000760,Bromley,E09000006,1624,1225,30,1,3,87,26,1,35,18,2,17,53,1,24,34,30,3,2,32
E01000761,Bromley,E09000006,1544,1262,25,0,0,67,15,12,20,7,10,10,24,2,12,13,38,7,7,13
E01000762,Bromley,E09000006,1746,1129,20,1,2,154,30,11,22,42,2,42,99,7,54,61,19,11,11,29
E01000763,Bromley,E09000006,1478,1179,17,0,0,64,20,3,12,11,12,18,41,5,28,20,16,7,0,25
E01000764,Bromley,E09000006,1818,1292,24,0,0,104,22,4,24,29,18,42,92,6,28,45,28,8,6,46
E01000765,Bromley,E09000006,1779,1391,30,2,1,123,19,8,25,17,0,26,18,7,22,20,14,20,4,32
E01000766,Bromley,E09000006,1810,1462,25,0,0,90,31,6,18,14,0,20,49,13,17,18,20,7,1,19
E01000767,Bromley,E09000006,1629,1364,11,0,0,81,32,5,12,18,0,13,29,0,17,15,8,4,5,15
E01000768,Bromley,E09000006,1504,1255,24,0,5,55,16,5,17,19,1,29,30,4,7,7,5,0,2,23
E01000769,Bromley,E09000006,1394,938,24,0,1,65,24,10,47,28,10,8,27,20,22,53,56,29,1,31
E01000770,Bromley,E09000006,1524,1107,37,0,1,131,26,11,9,14,7,16,58,11,16,9,11,9,4,47
E01000771,Bromley,E09000006,1671,1162,50,0,1,136,31,12,24,31,29,15,58,1,29,26,23,9,1,33
E01000772,Bromley,E09000006,1578,1111,54,0,4,130,30,8,8,34,1,39,45,2,23,19,19,5,5,41
E01000773,Bromley,E09000006,1577,1159,61,0,0,129,27,0,21,16,0,31,24,3,10,20,33,8,2,33
E01000774,Bromley,E09000006,1503,990,44,0,4,135,26,8,40,24,4,18,41,19,19,33,43,12,7,36
E01000775,Bromley,E09000006,2277,1496,67,4,1,176,34,15,43,42,6,35,88,17,29,67,51,25,21,60
E01000777,Bromley,E09000006,1637,1129,30,0,0,130,24,18,33,29,8,10,53,19,25,32,44,25,0,28
E01000778,Bromley,E09000006,1629,1082,39,0,1,99,23,11,28,31,22,16,22,10,18,58,103,23,0,43
E01000779,Bromley,E09000006,1406,851,22,1,1,133,13,6,17,16,10,23,90,13,40,74,31,22,5,38
E01000780,Bromley,E09000006,1609,912,12,4,6,174,17,14,39,24,6,37,31,5,59,139,50,25,4,51
E01000781,Bromley,E09000006,1572,937,11,0,4,194,11,11,38,32,4,30,31,0,21,115,64,30,2,37
E01000782,Bromley,E09000006,1549,851,10,2,1,170,19,9,36,45,0,22,26,0,43,155,71,45,2,42
E01000783,Bromley,E09000006,1622,957,17,5,2,196,17,8,48,36,3,17,54,7,47,94,49,20,2,43
E01000784,Bromley,E09000006,1552,1099,21,3,0,128,23,18,34,24,15,25,31,1,22,53,13,13,0,29
E01000785,Bromley,E09000006,1574,1005,11,1,2,169,16,14,20,23,8,30,24,5,16,113,54,19,3,41
E01000786,Bromley,E09000006,1456,1060,22,2,0,110,12,8,7,17,17,6,91,10,12,37,8,13,4,20
E01000787,Bromley,E09000006,1478,1091,9,2,1,79,13,9,6,20,5,21,51,0,44,71,26,13,2,15
E01000788,Bromley,E09000006,1607,1047,21,36,4,107,18,9,21,19,16,56,68,6,36,70,19,16,0,38
E01000789,Bromley,E09000006,1874,1108,1,16,7,98,6,20,42,37,37,20,26,8,32,224,74,70,4,44
E01000790,Bromley,E09000006,2301,1256,22,0,4,216,37,26,18,31,15,121,180,21,163,69,30,22,10,60
E01000791,Bromley,E09000006,1508,1072,18,0,0,66,15,5,11,24,0,32,94,2,32,71,10,10,5,41
E01000792,Bromley,E09000006,1501,926,9,6,1,109,7,13,24,14,4,34,80,9,51,108,49,28,0,29
E01000793,Bromley,E09000006,1560,1186,19,0,3,47,24,11,7,21,0,18,134,0,36,30,6,3,0,15
E01000794,Bromley,E09000006,1539,1212,27,1,0,55,20,4,4,12,5,9,120,20,26,10,1,3,6,4
E01000795,Bromley,E09000006,1385,1014,19,3,0,58,10,19,24,3,3,14,82,0,14,68,20,13,3,18
E01000796,Bromley,E09000006,1541,515,12,6,2,130,12,25,79,35,27,8,14,20,22,289,174,86,10,75
E01000797,Bromley,E09000006,1654,1120,51,0,12,156,36,18,21,42,8,2,38,12,10,70,29,7,8,14
E01000798,Bromley,E09000006,1525,646,28,1,6,181,16,19,82,42,21,16,25,7,49,177,124,47,13,25
E01000799,Bromley,E09000006,1803,854,37,0,5,206,43,30,49,47,16,16,41,21,43,112,138,62,21,62
E01000800,Bromley,E09000006,1668,733,18,5,9,231,18,23,57,41,14,4,50,14,46,151,157,50,4,43
E01000801,Bromley,E09000006,1507,799,23,0,4,152,30,19,71,41,18,6,32,11,20,106,97,36,8,34
E01000802,Bromley,E09000006,1858,996,75,1,1,180,27,22,55,62,37,23,33,4,28,106,114,41,8,45
E01000803,Bromley,E09000006,1607,951,30,3,0,167,25,21,33,34,4,11,22,3,35,115,75,34,9,35
E01000804,Bromley,E09000006,1472,860,37,0,0,142,38,10,30,45,5,21,66,19,26,57,49,22,2,43
E01000805,Bromley,E09000006,1698,950,41,0,6,190,31,17,53,35,10,11,19,4,21,107,86,62,12,43
E01000806,Bromley,E09000006,1714,707,12,0,2,202,25,18,60,38,18,19,40,1,26,306,111,77,8,44
E01000807,Bromley,E09000006,1665,1260,21,4,4,114,32,5,12,19,0,40,35,8,56,27,5,3,0,20
E01000808,Bromley,E09000006,1562,1123,35,0,0,85,30,5,4,14,25,51,102,5,30,13,13,3,3,21
E01000809,Bromley,E09000006,1539,1257,22,0,4,72,17,2,10,17,0,27,31,2,24,13,16,5,2,18
E01000810,Bromley,E09000006,1536,1150,32,0,0,65,29,2,10,10,3,36,123,7,30,15,14,0,2,8
E01000811,Bromley,E09000006,1364,958,25,0,4,133,37,5,1,9,0,49,79,0,29,20,7,0,1,7
E01000812,Bromley,E09000006,1637,1102,21,0,1,117,32,2,19,15,8,57,108,5,50,53,17,3,7,20
E01000813,Bromley,E09000006,1560,1176,20,0,0,79,15,8,7,15,14,49,113,0,16,34,2,1,1,10
E01000814,Bromley,E09000006,1530,1048,21,0,0,74,29,0,2,21,6,129,114,2,42,13,0,3,5,21
E01000815,Bromley,E09000006,1509,1223,43,0,0,45,28,4,8,19,3,33,29,6,18,16,5,2,1,26
E01000816,Bromley,E09000006,1523,764,27,0,2,162,10,17,43,24,8,30,41,8,56,131,96,47,6,51
E01000818,Bromley,E09000006,1686,1059,29,0,10,122,13,14,25,32,20,26,53,16,42,66,82,25,1,51
E01000819,Bromley,E09000006,1848,953,24,0,6,195,13,10,56,35,22,17,71,3,65,125,102,76,13,62
E01000820,Bromley,E09000006,1615,1011,32,0,1,126,32,15,36,25,9,20,75,13,34,61,40,47,7,31
E01000822,Bromley,E09000006,1631,938,17,0,2,181,34,6,60,41,8,16,80,12,29,107,47,22,6,25
E01000823,Bromley,E09000006,1694,1154,38,0,0,168,27,4,24,31,8,20,29,1,35,65,30,16,11,33
E01000824,Bromley,E09000006,1403,818,20,1,4,204,26,13,17,38,13,25,24,3,29,50,52,14,6,46
E01000825,Bromley,E09000006,1666,1106,17,0,9,199,23,11,22,41,0,24,40,7,35,49,28,23,3,29
E01000826,Bromley,E09000006,1643,1231,38,3,0,75,39,2,11,16,9,26,49,7,26,25,35,5,4,42
E01000827,Bromley,E09000006,1776,1085,21,0,6,165,23,16,29,19,26,45,131,24,40,50,30,14,9,43
E01000828,Bromley,E09000006,1704,1131,19,0,0,143,43,15,37,27,3,59,77,8,47,34,26,2,4,29
E01000829,Bromley,E09000006,1769,935,28,0,3,283,24,14,27,30,4,70,128,4,44,56,32,10,20,57
E01000830,Bromley,E09000006,1632,1177,19,0,0,68,43,9,17,18,0,36,87,21,51,27,15,2,8,34
E01000831,Bromley,E09000006,1694,1099,22,0,5,156,38,10,12,30,19,47,70,12,40,44,33,5,3,49
E01000832,Bromley,E09000006,1570,1103,37,0,6,98,41,2,26,22,13,27,68,5,18,41,36,5,1,21
E01000833,Bromley,E09000006,1446,1146,26,0,0,76,19,4,22,11,1,17,39,5,25,8,23,3,3,18
E01000834,Bromley,E09000006,1371,1046,23,0,1,74,24,16,8,14,7,24,38,8,21,32,7,5,6,17
E01000835,Bromley,E09000006,1753,1190,37,0,2,168,22,19,37,28,9,12,44,1,17,36,50,21,3,57
E01000836,Bromley,E09000006,1393,1042,33,0,0,73,30,13,17,17,10,27,28,9,23,19,13,15,0,24
E01000837,Bromley,E09000006,1569,1100,39,0,3,128,20,7,23,23,7,14,46,8,21,19,45,17,11,38
E01000838,Bromley,E09000006,1430,1143,13,0,0,76,20,12,13,9,1,11,59,1,10,17,18,1,1,25
E01000839,Bromley,E09000006,1385,1082,31,0,0,66,19,6,12,11,17,5,41,0,10,31,17,9,0,28
E01000840,Bromley,E09000006,1489,1235,29,0,2,50,17,7,10,13,1,9,49,6,6,22,13,4,1,15
E01000841,Bromley,E09000006,1696,1313,37,0,0,92,14,9,27,25,4,8,65,10,22,13,30,3,1,23
E01032562,Bromley,E09000006,1611,814,6,4,6,132,18,18,98,30,14,17,28,7,54,138,111,54,9,53
E01032563,Bromley,E09000006,1445,778,23,0,4,102,29,3,18,30,8,38,101,17,69,71,65,17,7,65
E01032568,Bromley,E09000006,1521,937,33,1,7,130,15,14,43,41,7,7,34,2,30,73,80,29,15,23
E01032570,Bromley,E09000006,1736,1545,16,0,3,55,14,6,27,10,7,0,4,0,5,12,19,6,1,6
E01034383,Bromley,E09000006,1313,405,17,0,5,229,7,17,108,20,22,9,10,11,32,208,110,47,19,37
E01034384,Bromley,E09000006,1336,560,16,42,9,192,16,17,62,57,7,12,23,4,28,134,69,36,0,52
E01034385,Bromley,E09000006,1440,797,36,0,9,192,26,12,33,30,14,40,62,35,30,29,25,9,19,42
E01034386,Bromley,E09000006,1249,434,14,0,6,253,19,22,22,29,4,39,136,13,77,67,45,8,20,41
E01000842,Camden,E09000007,1429,530,42,0,10,483,27,7,10,31,3,38,47,5,58,27,6,2,12,91
E01000843,Camden,E09000007,1202,480,24,0,1,396,37,11,6,31,2,37,34,6,35,17,7,0,10,68
E01000844,Camden,E09000007,1634,520,26,0,15,578,43,13,10,48,10,42,100,24,58,29,4,5,19,90
E01000845,Camden,E09000007,1500,623,20,0,4,434,39,3,14,44,30,42,55,9,53,32,15,5,15,63
E01000846,Camden,E09000007,1456,397,34,0,11,293,19,5,13,20,85,27,28,21,62,256,17,21,44,103
E01000847,Camden,E09000007,1600,456,15,0,2,330,25,14,13,32,81,49,57,21,117,192,8,20,69,99
E01000848,Camden,E09000007,1488,586,41,0,0,496,56,3,12,42,4,35,56,3,42,14,7,0,17,74
E01000849,Camden,E09000007,1364,512,45,0,5,427,21,15,15,42,17,35,56,13,45,27,9,6,13,61
E01000850,Camden,E09000007,1419,377,33,0,9,379,42,9,10,28,31,161,72,7,140,38,8,9,22,44
E01000851,Camden,E09000007,1489,419,28,1,11,411,53,18,14,52,34,122,88,17,78,32,8,6,34,63
E01000853,Camden,E09000007,1404,462,37,0,2,217,34,15,28,53,168,61,34,4,60,97,14,16,41,61
E01000855,Camden,E09000007,1313,449,31,2,6,313,31,4,5,27,30,118,66,14,73,40,6,2,51,45
E01000856,Camden,E09000007,1588,519,43,8,6,260,25,16,19,44,196,39,29,12,70,155,16,18,49,64
E01000857,Camden,E09000007,1387,628,32,0,1,338,32,5,18,25,84,30,22,9,26,60,9,3,8,57
E01000858,Camden,E09000007,1923,548,56,2,7,315,24,27,36,47,207,41,50,19,75,220,75,29,42,103
E01000859,Camden,E09000007,1463,762,40,1,2,399,47,5,11,39,4,16,23,3,33,7,12,1,13,45
E01000860,Camden,E09000007,1117,543,61,0,11,221,24,2,17,25,14,18,23,7,30,26,26,5,21,43
E01000861,Camden,E09000007,1361,501,57,2,25,295,29,18,29,40,94,30,28,11,39,62,25,17,15,44
E01000862,Camden,E09000007,1688,768,53,0,9,431,46,10,12,51,37,39,49,14,30,36,4,4,17,78
E01000863,Camden,E09000007,1480,546,35,0,5,360,34,11,22,45,45,52,64,9,42,91,23,19,31,46
E01000866,Camden,E09000007,1940,814,63,6,5,415,35,18,32,47,122,25,23,11,38,128,45,13,29,71
E01000867,Camden,E09000007,1734,523,38,0,7,328,26,17,20,29,238,62,39,18,96,143,21,15,33,81
E01000868,Camden,E09000007,1750,465,36,1,12,200,19,24,45,37,241,47,28,3,74,362,25,32,42,57
E01000869,Camden,E09000007,1944,862,57,1,10,384,50,39,17,53,75,43,39,9,37,106,40,17,23,82
E01000870,Camden,E09000007,1596,751,53,0,6,258,40,26,39,35,73,17,26,4,26,133,32,21,17,39
E01000871,Camden,E09000007,1658,671,30,3,4,354,26,10,11,53,98,23,52,22,66,61,15,7,42,110
E01000872,Camden,E09000007,1743,507,87,3,18,423,21,28,33,50,32,29,65,14,144,97,38,12,61,81
E01000873,Camden,E09000007,1585,755,51,0,6,382,46,8,16,44,10,32,52,5,23,47,13,29,16,50
E01000874,Camden,E09000007,1474,522,22,0,9,444,44,4,6,24,22,33,128,11,52,26,7,5,43,72
E01000875,Camden,E09000007,1571,522,47,0,14,366,30,19,23,49,40,26,63,17,71,105,27,22,53,77
E01000876,Camden,E09000007,1921,591,96,0,5,348,21,28,26,57,149,38,55,10,53,210,32,17,87,98
E01000877,Camden,E09000007,1454,584,31,0,11,381,30,11,18,50,3,34,79,7,51,37,7,9,23,88
E01000878,Camden,E09000007,1712,498,26,0,3,431,40,24,22,37,30,62,136,31,91,73,20,14,38,136
E01000879,Camden,E09000007,1299,524,17,0,1,434,33,5,8,26,14,55,43,5,37,22,4,3,11,57
E01000880,Camden,E09000007,1409,443,15,0,9,486,46,10,6,39,12,46,102,12,53,18,3,1,20,88
E01000881,Camden,E09000007,1383,377,21,0,11,440,25,15,7,34,74,68,73,18,88,31,5,14,26,56
E01000882,Camden,E09000007,1454,584,17,0,9,509,37,14,13,35,1,30,51,4,51,12,3,5,12,67
E01000883,Camden,E09000007,1504,418,31,0,14,428,42,4,10,36,5,70,136,34,139,19,5,3,31,79
E01000884,Camden,E09000007,1472,588,26,0,19,418,41,10,8,30,9,18,89,14,47,34,7,9,8,97
E01000885,Camden,E09000007,1282,615,20,0,1,354,51,6,5,17,7,22,42,13,38,19,3,2,6,61
E01000886,Camden,E09000007,1334,769,33,1,2,271,30,5,19,20,18,13,26,4,19,35,11,6,11,41
E01000887,Camden,E09000007,1387,599,52,1,12,347,33,15,29,39,38,30,30,5,29,39,13,10,10,56
E01000888,Camden,E09000007,1477,704,36,2,2,281,41,8,19,43,81,14,29,6,48,49,21,18,14,61
E01000889,Camden,E09000007,1777,728,52,0,10,186,27,26,28,39,240,20,19,12,32,196,31,27,13,91
E01000890,Camden,E09000007,1310,471,56,3,2,160,11,16,14,33,171,9,18,4,35,172,16,21,15,83
E01000891,Camden,E09000007,1480,512,31,6,4,214,18,19,21,46,199,9,19,6,43,166,26,32,38,71
E01000892,Camden,E09000007,1792,706,53,2,8,396,35,11,21,42,106,30,55,8,63,125,21,9,11,90
E01000893,Camden,E09000007,1381,686,29,0,0,374,35,14,6,38,16,17,42,4,20,14,7,0,7,72
E01000894,Camden,E09000007,1273,586,36,0,6,392,41,1,6,22,10,36,50,2,36,8,3,0,4,34
E01000895,Camden,E09000007,1553,649,45,0,13,425,34,6,14,39,17,25,41,0,50,60,13,18,23,81
E01000896,Camden,E09000007,1435,683,41,0,11,404,46,7,16,27,14,32,44,4,40,14,4,0,8,40
E01000897,Camden,E09000007,1565,648,32,0,4,526,43,6,7,39,10,32,70,7,36,13,4,9,10,69
E01000898,Camden,E09000007,1584,468,62,10,7,339,29,11,16,22,73,41,121,19,141,97,16,6,29,77
E01000899,Camden,E09000007,1567,759,25,0,5,425,43,7,5,33,0,14,58,4,68,23,2,0,19,77
E01000900,Camden,E09000007,1698,753,67,3,8,233,49,6,28,42,136,35,21,15,46,104,34,28,19,71
E01000901,Camden,E09000007,1971,635,38,10,12,226,27,35,35,48,325,36,18,10,59,257,24,36,41,99
E01000902,Camden,E09000007,1416,453,39,0,5,205,25,16,22,37,150,20,27,13,67,193,40,10,31,63
E01000903,Camden,E09000007,1408,578,31,0,7,316,43,6,9,21,109,23,53,11,31,69,24,4,16,57
E01000904,Camden,E09000007,2078,773,73,0,11,323,40,32,33,51,180,38,53,8,75,210,39,20,20,99
E01000905,Camden,E09000007,1872,560,55,4,13,242,15,8,31,36,350,10,22,17,45,260,39,27,45,93
E01000906,Camden,E09000007,1445,571,21,0,3,423,36,10,11,35,31,41,47,12,50,45,14,12,17,66
E01000907,Camden,E09000007,1478,726,73,0,1,174,23,16,49,39,71,8,17,0,23,102,35,12,17,92
E01000908,Camden,E09000007,1515,738,54,0,0,207,21,15,50,46,45,15,16,2,62,116,34,11,7,76
E01000909,Camden,E09000007,1551,931,37,0,2,296,28,7,25,31,33,9,6,4,11,32,19,4,9,67
E01000910,Camden,E09000007,1341,832,19,0,0,233,18,4,20,32,24,15,11,0,31,31,7,1,4,59
E01000911,Camden,E09000007,1439,782,29,2,1,216,20,14,19,39,55,8,21,5,21,82,30,22,6,67
E01000912,Camden,E09000007,1600,799,45,0,3,214,22,22,39,37,103,15,12,0,17,114,27,23,25,83
E01000913,Camden,E09000007,1599,1043,40,0,4,282,41,2,11,34,4,16,22,1,12,10,8,9,12,48
E01000914,Camden,E09000007,1417,486,16,0,4,332,28,16,6,37,64,128,43,12,52,83,9,16,30,55
E01000915,Camden,E09000007,1531,389,22,2,2,164,11,15,3,25,443,65,33,17,53,173,6,17,42,49
E01000916,Camden,E09000007,1854,539,43,2,15,420,39,23,28,38,179,120,39,10,61,157,26,20,29,66
E01000917,Camden,E09000007,1668,443,51,0,4,243,23,22,28,39,314,39,32,16,55,174,24,39,23,99
E01000918,Camden,E09000007,1796,566,35,0,17,373,32,12,16,60,164,174,62,5,60,91,18,7,38,66
E01000919,Camden,E09000007,1439,483,21,1,12,298,38,10,12,57,123,99,40,10,56,54,14,11,34,66
E01000920,Camden,E09000007,1623,601,36,0,9,349,33,12,21,39,166,63,27,11,61,52,19,10,36,78
E01000921,Camden,E09000007,1876,876,65,0,13,398,40,19,28,51,56,33,33,3,47,70,27,25,19,73
E01000922,Camden,E09000007,1926,712,68,4,3,354,38,22,29,56,85,71,36,10,71,179,28,40,26,94
E01000923,Camden,E09000007,1447,785,67,7,4,230,27,7,30,26,43,10,23,7,27,69,24,13,14,34
E01000924,Camden,E09000007,1567,783,57,0,4,321,22,9,16,37,37,34,44,9,33,80,18,15,12,36
E01000925,Camden,E09000007,1491,490,55,0,5,179,12,18,18,36,197,16,24,6,67,218,18,12,41,79
E01000926,Camden,E09000007,1467,592,68,0,2,240,25,21,38,34,100,9,22,10,36,138,20,27,17,68
E01000927,Camden,E09000007,1538,748,54,3,1,323,23,13,28,33,57,14,32,3,29,70,35,10,16,46
E01000928,Camden,E09000007,1713,874,77,0,7,242,38,21,28,44,108,33,33,2,14,73,31,8,17,63
E01000929,Camden,E09000007,1922,428,50,5,12,260,21,36,38,28,134,21,73,24,115,301,41,42,173,120
E01000930,Camden,E09000007,2077,450,60,0,18,382,22,34,16,48,81,44,36,19,159,234,48,32,236,158
E01000931,Camden,E09000007,2061,504,78,0,22,401,42,48,33,39,105,28,66,20,122,218,50,35,153,97
E01000932,Camden,E09000007,1761,607,75,0,21,398,32,12,28,51,64,36,69,8,62,118,27,25,51,77
E01000933,Camden,E09000007,1763,580,50,0,11,471,34,16,10,49,80,31,69,18,63,108,28,10,67,68
E01000934,Camden,E09000007,1506,387,45,2,6,279,20,36,8,37,122,21,28,19,103,183,41,18,65,86
E01000935,Camden,E09000007,1608,419,44,0,6,283,28,24,26,35,99,27,26,10,83,281,31,27,58,101
E01000937,Camden,E09000007,1120,233,15,0,5,262,21,7,9,23,81,139,63,8,78,60,24,13,16,63
E01000938,Camden,E09000007,1360,313,29,0,12,280,12,30,15,44,201,73,49,15,52,109,33,11,20,62
E01000939,Camden,E09000007,1446,261,24,0,3,180,21,19,18,30,400,122,15,12,76,161,22,16,11,55
E01000941,Camden,E09000007,1203,276,33,0,0,154,18,29,15,27,277,58,21,6,58,114,13,12,33,59
E01000942,Camden,E09000007,1011,312,19,0,2,206,26,10,9,27,50,84,65,11,58,52,8,16,23,33
E01000943,Camden,E09000007,1586,427,19,2,8,438,41,21,18,39,36,166,117,28,63,53,13,12,33,52
E01000944,Camden,E09000007,1468,347,16,1,5,214,16,16,12,16,278,52,38,18,74,208,10,16,54,77
E01000946,Camden,E09000007,1551,491,20,1,5,293,43,20,21,35,104,62,90,14,71,130,18,22,55,56
E01000947,Camden,E09000007,1669,556,33,0,10,395,31,22,21,38,133,76,43,9,59,146,21,13,17,46
E01000948,Camden,E09000007,1528,692,22,0,8,302,29,20,23,46,54,22,15,6,51,98,14,11,35,80
E01000949,Camden,E09000007,1600,537,47,0,2,225,23,28,36,40,187,22,23,19,123,123,37,31,42,55
